window_start_utc,window_end_utc,n_samples,bmp_tempC_mean,bmp_pressurePa_mean,bmp_altitudeM_est_mean,euler_heading_deg_mean,euler_roll_deg_mean,euler_pitch_deg_mean,quat_w_mean,quat_x_mean,quat_y_mean,quat_z_mean,accel_x_mps2_mean,accel_y_mps2_mean,accel_z_mps2_mean,linacc_x_mps2_mean,linacc_y_mps2_mean,linacc_z_mps2_mean,gravity_x_mps2_mean,gravity_y_mps2_mean,gravity_z_mps2_mean,gyro_x_rads_mean,gyro_y_rads_mean,gyro_z_rads_mean,mag_x_uT_mean,mag_y_uT_mean,mag_z_uT_mean,calib_sys_mode,calib_gyro_mode,calib_accel_mode,calib_mag_mode
2026-03-20T19:58:44.127+00:00,2026-03-20T19:59:55.796+00:00,21,25.7926,100797.75,43.9314,359.940476,3.437500,-1.062500,0.999512,0.009277,0.169849,0.000000,0.567619,0.162857,9.475238,-0.012381,-0.010952,-0.301429,0.590000,0.180000,9.780000,0.000519,0.000416,0.000519,27.205357,8.032738,-46.416667,2,3,0,0
2026-03-20T19:59:55.801+00:00,2026-03-20T20:00:56.294+00:00,112,25.9247,100800.12,43.7607,359.937500,3.437500,-1.062500,0.999512,0.009277,-0.030151,0.000073,0.565888,0.160748,9.476542,-0.016055,0.000000,-0.300734,0.590000,0.180000,9.768148,0.000058,0.000078,0.000243,27.167411,8.004464,-46.381138,2,3,0,0
2026-03-20T20:00:56.337+00:00,2026-03-20T20:01:56.415+00:00,60,25.8659,100799.81,43.7934,359.937500,3.437500,-1.062500,0.999512,0.009277,-0.030151,-0.000130,0.565862,0.156207,9.475517,-0.015690,-0.010690,-0.300000,0.590000,0.180000,9.780000,0.000073,0.000255,-0.000109,26.762500,7.843750,-45.717708,2,3,0,0
2026-03-20T20:01:56.472+00:00,2026-03-20T20:02:57.284+00:00,61,25.9039,100795.16,44.1434,359.937500,3.437500,-1.062500,0.999512,0.009277,-0.030151,0.000000,0.569153,0.158814,9.477119,-0.012167,-0.012333,-0.301000,0.590000,0.180000,9.780000,-0.000197,-0.000358,0.000268,26.912910,8.110656,-46.179303,2,3,0,0
2026-03-20T20:02:57.648+00:00,2026-03-20T20:03:58.278+00:00,61,25.9555,100794.53,44.1954,359.937500,3.437500,-1.062500,0.999512,0.009277,-0.030151,0.000000,0.567705,0.157705,9.477049,-0.015345,-0.013448,-0.304655,0.590000,0.180000,9.758305,-0.000072,-0.000161,0.000268,26.993852,8.017418,-46.553279,2,3,0,0
2026-03-20T20:03:58.292+00:00,2026-03-20T20:04:59.280+00:00,61,26.0019,100796.84,44.0566,359.937500,3.437500,-1.062500,0.965029,0.009277,0.004331,0.000135,0.566207,0.159138,9.432241,-0.015862,-0.012931,-0.302759,0.590000,0.180000,9.758667,-0.000143,0.000018,-0.000054,26.976434,8.015369,-12.983607,2,3,0,0
2026-03-20T20:04:59.294+00:00,2026-03-20T20:06:00.281+00:00,61,26.0328,100797.32,43.9770,359.937500,3.437500,-1.062500,0.999512,0.009277,-0.030151,0.000000,0.566552,0.159483,9.477069,-0.016500,-0.012833,-0.299333,0.590000,0.180000,9.780000,0.000215,-0.000089,0.002450,26.962090,7.971311,-46.448770,2,3,0,0
2026-03-20T20:06:00.295+00:00,2026-03-20T20:07:01.277+00:00,61,26.0536,100796.43,44.0870,359.937500,3.437500,-1.198093,0.965029,0.009277,-0.030151,0.000000,0.564483,0.159310,9.480517,-0.016102,-0.011356,-0.299831,0.590000,0.180000,9.780000,-0.000304,-0.000161,0.000340,27.090164,8.065574,-46.569672,0,3,0,0
2026-03-20T20:07:01.291+00:00,2026-03-20T20:08:02.313+00:00,61,26.0655,100792.68,44.4018,326.363730,3.437500,-1.062500,0.999512,0.009277,-0.030151,0.000000,0.564211,0.155614,9.474912,-0.015088,-0.011754,-0.302456,0.590000,0.180000,9.780000,-0.000197,0.000018,0.000179,27.120902,8.037910,-46.550205,2,3,0,0
2026-03-20T20:08:02.337+00:00,2026-03-20T20:09:03.279+00:00,61,26.0745,100787.09,44.8466,359.937500,3.437500,-1.200431,0.965613,0.009277,-0.030151,0.000000,0.564737,0.159825,9.457368,-0.018491,-0.010189,-0.297547,0.590000,0.180000,9.780000,-0.000197,-0.000286,0.000322,27.086066,7.956967,-46.446721,2,3,0,0
2026-03-20T20:09:03.293+00:00,2026-03-20T20:10:04.278+00:00,61,26.0902,100781.24,45.2303,359.937500,3.437500,-1.062500,0.999512,0.009149,-0.030151,0.000128,0.566182,0.160727,9.478909,-0.015667,-0.012667,-0.302833,0.590000,0.180000,9.780000,0.000125,-0.000072,0.000644,27.020492,7.809426,-46.427254,2,3,0,0
2026-03-20T20:10:04.291+00:00,2026-03-20T20:11:05.277+00:00,61,26.0958,100776.26,45.6856,359.937500,3.437500,-1.027412,0.999512,0.009109,-0.030151,0.000000,0.566607,0.158036,9.474821,-0.014746,-0.011356,-0.303898,0.590000,0.180000,9.780000,-0.000304,0.000232,0.000179,27.063525,7.940574,-46.370902,2,3,0,0
