ts_utc,cpu_tempC,disk_free_bytes,throttled
2026-03-20T19:58:44.129+00:00,45.46,220554231808,throttled=0x0
2026-03-20T19:58:54.129+00:00,46.54,220554207232,throttled=0x0
2026-03-20T19:59:55.521+00:00,46.54,220554207232,throttled=0x0
2026-03-20T19:59:55.575+00:00,46.54,220554207232,throttled=0x0
2026-03-20T19:59:55.623+00:00,46.54,220554207232,throttled=0x0
2026-03-20T19:59:55.666+00:00,46.00,220554207232,throttled=0x0
2026-03-20T19:59:55.710+00:00,46.00,220554207232,throttled=0x0
2026-03-20T19:59:55.754+00:00,46.54,220554207232,throttled=0x0
2026-03-20T20:00:04.129+00:00,45.46,220554199040,throttled=0x0
2026-03-20T20:00:14.129+00:00,46.54,220554199040,throttled=0x0
2026-03-20T20:00:24.129+00:00,47.08,220554170368,throttled=0x0
2026-03-20T20:00:34.131+00:00,47.08,220554166272,throttled=0x0
2026-03-20T20:00:44.129+00:00,47.62,220554158080,throttled=0x0
2026-03-20T20:00:54.135+00:00,47.08,220554149888,throttled=0x0
2026-03-20T20:01:04.129+00:00,47.62,220554141696,throttled=0x0
2026-03-20T20:01:14.129+00:00,48.15,220554133504,throttled=0x0
2026-03-20T20:01:24.134+00:00,48.15,220554129408,throttled=0x0
2026-03-20T20:01:34.129+00:00,48.69,220554125312,throttled=0x0
2026-03-20T20:01:44.129+00:00,48.69,220554121216,throttled=0x0
2026-03-20T20:01:54.129+00:00,48.69,220554113024,throttled=0x0
2026-03-20T20:02:04.129+00:00,48.69,220539797504,throttled=0x0
2026-03-20T20:02:14.129+00:00,48.69,220494462976,throttled=0x0
2026-03-20T20:02:24.129+00:00,49.23,220465094656,throttled=0x0
2026-03-20T20:02:34.129+00:00,48.69,220643454976,throttled=0x0
2026-03-20T20:02:44.129+00:00,48.69,220643450880,throttled=0x0
2026-03-20T20:02:54.137+00:00,49.77,220598796288,throttled=0x0
2026-03-20T20:03:04.129+00:00,48.69,220554080256,throttled=0x0
2026-03-20T20:03:14.129+00:00,48.15,220554076160,throttled=0x0
2026-03-20T20:03:24.129+00:00,46.54,220554067968,throttled=0x0
2026-03-20T20:03:34.129+00:00,46.54,220554059776,throttled=0x0
2026-03-20T20:03:44.129+00:00,47.62,220554059776,throttled=0x0
2026-03-20T20:03:54.129+00:00,46.00,220554051584,throttled=0x0
2026-03-20T20:04:04.129+00:00,45.46,220554051584,throttled=0x0
2026-03-20T20:04:14.130+00:00,44.93,220554043392,throttled=0x0
2026-03-20T20:04:24.129+00:00,44.39,220554035200,throttled=0x0
2026-03-20T20:04:34.129+00:00,44.39,220554027008,throttled=0x0
2026-03-20T20:04:44.129+00:00,44.39,220554022912,throttled=0x0
2026-03-20T20:04:54.129+00:00,44.39,220554018816,throttled=0x0
2026-03-20T20:05:04.129+00:00,44.93,220554014720,throttled=0x0
2026-03-20T20:05:14.129+00:00,44.39,220554006528,throttled=0x0
2026-03-20T20:05:24.129+00:00,44.39,220554002432,throttled=0x0
2026-03-20T20:05:34.129+00:00,43.85,220553994240,throttled=0x0
2026-03-20T20:05:44.129+00:00,43.31,220553990144,throttled=0x0
2026-03-20T20:05:54.129+00:00,43.31,220553986048,throttled=0x0
2026-03-20T20:06:04.129+00:00,43.31,220553977856,throttled=0x0
2026-03-20T20:06:14.129+00:00,43.31,220553977856,throttled=0x0
2026-03-20T20:06:24.129+00:00,43.31,220553965568,throttled=0x0
2026-03-20T20:06:34.129+00:00,43.31,220553957376,throttled=0x0
2026-03-20T20:06:44.129+00:00,42.77,220553957376,throttled=0x0
2026-03-20T20:06:54.129+00:00,42.77,220553949184,throttled=0x0
2026-03-20T20:07:04.129+00:00,42.77,220553940992,throttled=0x0
2026-03-20T20:07:14.129+00:00,42.77,220553936896,throttled=0x0
2026-03-20T20:07:24.129+00:00,43.31,220553932800,throttled=0x0
2026-03-20T20:07:34.129+00:00,42.77,220553924608,throttled=0x0
2026-03-20T20:07:44.129+00:00,43.31,220553920512,throttled=0x0
2026-03-20T20:07:54.129+00:00,44.93,220553916416,throttled=0x0
2026-03-20T20:08:04.129+00:00,45.46,220553912320,throttled=0x0
2026-03-20T20:08:14.129+00:00,44.39,220553904128,throttled=0x0
2026-03-20T20:08:24.129+00:00,44.39,220553900032,throttled=0x0
2026-03-20T20:08:34.129+00:00,44.39,220553895936,throttled=0x0
2026-03-20T20:08:44.129+00:00,43.31,220553887744,throttled=0x0
2026-03-20T20:08:54.129+00:00,43.31,220553887744,throttled=0x0
2026-03-20T20:09:04.129+00:00,42.77,220553875456,throttled=0x0
2026-03-20T20:09:14.129+00:00,43.31,220553871360,throttled=0x0
2026-03-20T20:09:24.129+00:00,42.77,220553867264,throttled=0x0
2026-03-20T20:09:34.129+00:00,43.31,220553859072,throttled=0x0
2026-03-20T20:09:44.129+00:00,43.31,220553854976,throttled=0x0
2026-03-20T20:09:54.129+00:00,42.77,220553850880,throttled=0x0
2026-03-20T20:10:04.129+00:00,43.31,220553846784,throttled=0x0
2026-03-20T20:10:14.129+00:00,43.31,220553838592,throttled=0x0
2026-03-20T20:10:24.129+00:00,42.77,220553834496,throttled=0x0
2026-03-20T20:10:34.129+00:00,42.77,220553830400,throttled=0x0
2026-03-20T20:10:44.129+00:00,42.77,220553826304,throttled=0x0
2026-03-20T20:10:54.129+00:00,42.77,220553818112,throttled=0x0
2026-03-20T20:11:04.129+00:00,42.24,220553814016,throttled=0x0
2026-03-20T20:11:14.129+00:00,42.77,220553805824,throttled=0x0
2026-03-20T20:11:24.130+00:00,42.77,220553801728,throttled=0x0
2026-03-20T20:11:34.129+00:00,42.77,220553797632,throttled=0x0
2026-03-20T20:11:44.129+00:00,42.24,220553789440,throttled=0x0
2026-03-20T20:11:54.129+00:00,42.24,220553789440,throttled=0x0
2026-03-20T20:12:04.130+00:00,42.24,220553781248,throttled=0x0
2026-03-20T20:12:14.129+00:00,42.24,220553777152,throttled=0x0
2026-03-20T20:12:24.129+00:00,42.77,220553768960,throttled=0x0
2026-03-20T20:12:34.129+00:00,42.24,220553760768,throttled=0x0
2026-03-20T20:12:44.129+00:00,42.24,220553756672,throttled=0x0
2026-03-20T20:12:54.129+00:00,42.24,220553752576,throttled=0x0
2026-03-20T20:13:04.129+00:00,42.24,220553744384,throttled=0x0
2026-03-20T20:13:14.129+00:00,42.24,220553740288,throttled=0x0
2026-03-20T20:13:24.129+00:00,41.70,220553732096,throttled=0x0
2026-03-20T20:13:34.129+00:00,42.77,220553728000,throttled=0x0
2026-03-20T20:13:44.129+00:00,42.77,220553723904,throttled=0x0
2026-03-20T20:13:54.129+00:00,42.24,220553715712,throttled=0x0
2026-03-20T20:14:04.129+00:00,42.24,220553711616,throttled=0x0
2026-03-20T20:14:14.129+00:00,42.24,220553707520,throttled=0x0
2026-03-20T20:14:24.129+00:00,42.24,220553703424,throttled=0x0
2026-03-20T20:14:34.129+00:00,42.24,220553695232,throttled=0x0
2026-03-20T20:14:44.129+00:00,42.24,220553682944,throttled=0x0
2026-03-20T20:14:54.129+00:00,42.24,220553682944,throttled=0x0
2026-03-20T20:15:04.129+00:00,42.24,220553674752,throttled=0x0
2026-03-20T20:15:14.129+00:00,42.24,220553666560,throttled=0x0
2026-03-20T20:15:24.131+00:00,42.24,220553662464,throttled=0x0
2026-03-20T20:15:34.130+00:00,42.24,220553658368,throttled=0x0
2026-03-20T20:15:44.129+00:00,42.24,220553650176,throttled=0x0
2026-03-20T20:15:54.129+00:00,41.16,220553646080,throttled=0x0
2026-03-20T20:16:04.129+00:00,42.24,220553641984,throttled=0x0
2026-03-20T20:16:14.129+00:00,42.24,220553637888,throttled=0x0
2026-03-20T20:16:24.129+00:00,42.24,220553629696,throttled=0x0
2026-03-20T20:16:34.129+00:00,42.24,220553629696,throttled=0x0
2026-03-20T20:16:44.129+00:00,42.24,220553621504,throttled=0x0
2026-03-20T20:16:54.130+00:00,42.24,220553621504,throttled=0x0
2026-03-20T20:17:04.129+00:00,42.77,220553609216,throttled=0x0
2026-03-20T20:17:14.129+00:00,43.85,220553605120,throttled=0x0
2026-03-20T20:17:24.129+00:00,43.31,220553596928,throttled=0x0
2026-03-20T20:17:34.129+00:00,42.24,220553592832,throttled=0x0
2026-03-20T20:17:44.129+00:00,42.24,220553588736,throttled=0x0
2026-03-20T20:17:54.130+00:00,42.24,220553584640,throttled=0x0
2026-03-20T20:18:04.129+00:00,42.24,220553580544,throttled=0x0
2026-03-20T20:18:14.129+00:00,42.24,220553572352,throttled=0x0
2026-03-20T20:18:24.129+00:00,42.24,220553568256,throttled=0x0
2026-03-20T20:18:34.129+00:00,42.24,220553564160,throttled=0x0
2026-03-20T20:18:44.129+00:00,42.24,220553555968,throttled=0x0
2026-03-20T20:18:54.129+00:00,42.24,220553551872,throttled=0x0
2026-03-20T20:19:04.129+00:00,42.24,220553543680,throttled=0x0
2026-03-20T20:19:14.129+00:00,41.70,220553539584,throttled=0x0
2026-03-20T20:19:24.129+00:00,41.70,220553535488,throttled=0x0
2026-03-20T20:19:34.129+00:00,42.24,220553527296,throttled=0x0
2026-03-20T20:19:44.129+00:00,42.24,220553523200,throttled=0x0
2026-03-20T20:19:54.129+00:00,42.24,220553519104,throttled=0x0
2026-03-20T20:20:04.129+00:00,42.24,220553515008,throttled=0x0
2026-03-20T20:20:14.129+00:00,42.24,220553510912,throttled=0x0
2026-03-20T20:20:24.129+00:00,42.24,220553502720,throttled=0x0
2026-03-20T20:20:34.129+00:00,41.70,220553494528,throttled=0x0
2026-03-20T20:20:44.129+00:00,42.24,220553486336,throttled=0x0
2026-03-20T20:20:54.129+00:00,42.24,220553486336,throttled=0x0
2026-03-20T20:21:04.129+00:00,42.24,220553478144,throttled=0x0
2026-03-20T20:21:14.129+00:00,42.24,220553478144,throttled=0x0
2026-03-20T20:21:24.129+00:00,42.24,220553465856,throttled=0x0
2026-03-20T20:21:34.129+00:00,41.70,220553457664,throttled=0x0
2026-03-20T20:21:44.129+00:00,42.24,220553453568,throttled=0x0
2026-03-20T20:21:54.130+00:00,42.24,220553449472,throttled=0x0
2026-03-20T20:22:04.129+00:00,41.16,220553441280,throttled=0x0
2026-03-20T20:22:14.129+00:00,42.24,220553433088,throttled=0x0
2026-03-20T20:22:24.129+00:00,41.70,220553428992,throttled=0x0
2026-03-20T20:22:34.129+00:00,42.24,220553424896,throttled=0x0
2026-03-20T20:22:44.129+00:00,42.24,220553420800,throttled=0x0
2026-03-20T20:22:54.129+00:00,42.24,220553412608,throttled=0x0
2026-03-20T20:23:04.129+00:00,42.24,220553404416,throttled=0x0
