ts_utc,cpu_tempC,disk_free_bytes,throttled
2026-03-22T03:59:33.020+00:00,45.46,220430258176,throttled=0x0
2026-03-22T03:59:43.022+00:00,46.54,220430237696,throttled=0x0
2026-03-22T04:04:56.326+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:56.400+00:00,47.08,220430229504,throttled=0x0
2026-03-22T04:04:56.459+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:56.536+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:56.615+00:00,47.08,220430229504,throttled=0x0
2026-03-22T04:04:56.673+00:00,47.08,220430229504,throttled=0x0
2026-03-22T04:04:56.734+00:00,47.08,220430229504,throttled=0x0
2026-03-22T04:04:56.799+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:56.848+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:56.918+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:56.997+00:00,47.08,220430229504,throttled=0x0
2026-03-22T04:04:57.053+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.119+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.192+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.250+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.284+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.335+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.373+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.417+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.460+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.510+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.602+00:00,47.08,220430229504,throttled=0x0
2026-03-22T04:04:57.678+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.777+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.889+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:57.961+00:00,47.08,220430229504,throttled=0x0
2026-03-22T04:04:58.053+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:58.199+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:58.378+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:58.618+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:04:58.788+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:05:03.026+00:00,46.54,220430229504,throttled=0x0
2026-03-22T04:05:13.020+00:00,46.54,220430225408,throttled=0x0
2026-03-22T04:05:23.020+00:00,46.54,220430192640,throttled=0x0
2026-03-22T04:05:33.020+00:00,47.62,220430184448,throttled=0x0
2026-03-22T04:05:43.020+00:00,47.62,220430172160,throttled=0x0
2026-03-22T04:05:53.020+00:00,47.62,220430168064,throttled=0x0
2026-03-22T04:06:03.020+00:00,47.62,220430155776,throttled=0x0
2026-03-22T04:06:13.020+00:00,47.62,220430151680,throttled=0x0
2026-03-22T04:06:23.020+00:00,48.15,220430143488,throttled=0x0
2026-03-22T04:06:33.020+00:00,48.69,220430143488,throttled=0x0
2026-03-22T04:06:43.023+00:00,48.69,220430135296,throttled=0x0
2026-03-22T04:06:53.020+00:00,48.69,220430123008,throttled=0x0
2026-03-22T04:07:03.021+00:00,49.77,220430123008,throttled=0x0
2026-03-22T04:07:13.020+00:00,48.69,220519477248,throttled=0x0
2026-03-22T04:07:23.020+00:00,48.69,220519473152,throttled=0x0
2026-03-22T04:07:33.020+00:00,48.69,220519469056,throttled=0x0
2026-03-22T04:07:43.020+00:00,49.23,220430098432,throttled=0x0
2026-03-22T04:07:53.020+00:00,48.69,220430094336,throttled=0x0
2026-03-22T04:08:03.020+00:00,47.62,220430090240,throttled=0x0
2026-03-22T04:08:13.020+00:00,47.08,220430082048,throttled=0x0
2026-03-22T04:08:23.020+00:00,46.54,220430077952,throttled=0x0
2026-03-22T04:08:33.020+00:00,45.46,220430069760,throttled=0x0
2026-03-22T04:08:43.020+00:00,44.93,220430061568,throttled=0x0
2026-03-22T04:08:53.020+00:00,45.46,220430057472,throttled=0x0
2026-03-22T04:09:03.020+00:00,45.46,220430053376,throttled=0x0
2026-03-22T04:09:13.020+00:00,44.93,220430049280,throttled=0x0
2026-03-22T04:09:23.020+00:00,44.39,220430045184,throttled=0x0
2026-03-22T04:09:33.020+00:00,44.39,220430036992,throttled=0x0
2026-03-22T04:09:43.020+00:00,44.39,220430028800,throttled=0x0
2026-03-22T04:09:53.020+00:00,44.39,220430024704,throttled=0x0
2026-03-22T04:10:03.020+00:00,44.39,220430024704,throttled=0x0
2026-03-22T04:10:13.020+00:00,43.85,220430016512,throttled=0x0
