ts_utc,event,runtime_s,coincidence_flag,adc_12b,sipm_mV,deadtime_s,detector_name,raw
2026-03-19T15:34:09.311+00:00,335,150.996215,1,4095,1000.0,0.0734,AxLab,335	150.996215	1	4095	1000.0	0.073400	AxLab
2026-03-19T15:34:10.457+00:00,339,152.144142,1,4095,1000.0,0.074709,AxLab,339	152.144142	1	4095	1000.0	0.074709	AxLab
2026-03-19T15:34:11.820+00:00,341,153.506254,1,4095,1000.0,0.075411,AxLab,341	153.506254	1	4095	1000.0	0.075411	AxLab
2026-03-19T15:34:16.750+00:00,355,158.432419,1,4095,1000.0,0.080534,AxLab,355	158.432419	1	4095	1000.0	0.080534	AxLab
2026-03-19T15:34:19.095+00:00,361,160.776276,1,4095,1000.0,0.082573,AxLab,361	160.776276	1	4095	1000.0	0.082573	AxLab
2026-03-19T15:34:21.582+00:00,370,163.270592,1,4095,1000.0,0.085511,AxLab,370	163.270592	1	4095	1000.0	0.085511	AxLab
2026-03-19T15:34:27.859+00:00,379,169.546975,1,4095,1000.0,0.088705,AxLab,379	169.546975	1	4095	1000.0	0.088705	AxLab
2026-03-19T15:34:45.279+00:00,416,186.960891,1,4095,1000.0,0.101108,AxLab,416	186.960891	1	4095	1000.0	0.101108	AxLab
2026-03-19T15:34:48.813+00:00,421,190.502179,1,4095,1000.0,0.102799,AxLab,421	190.502179	1	4095	1000.0	0.102799	AxLab
2026-03-19T15:34:52.884+00:00,431,194.56661,1,4095,1000.0,0.106172,AxLab,431	194.566610	1	4095	1000.0	0.106172	AxLab
2026-03-19T15:34:53.428+00:00,433,195.11334,1,4095,1000.0,0.106869,AxLab,433	195.113340	1	4095	1000.0	0.106869	AxLab
2026-03-19T15:35:00.333+00:00,447,201.911124,1,4095,1000.0,0.111615,AxLab,447	201.911124	1	4095	1000.0	0.111615	AxLab
2026-03-19T15:35:04.560+00:00,458,206.247285,1,4095,1000.0,0.115301,AxLab,458	206.247285	1	4095	1000.0	0.115301	AxLab
2026-03-19T15:35:07.764+00:00,463,209.448699,1,4095,1000.0,0.116965,AxLab,463	209.448699	1	4095	1000.0	0.116965	AxLab
2026-03-19T15:35:11.642+00:00,469,213.329729,1,4095,1000.0,0.118993,AxLab,469	213.329729	1	4095	1000.0	0.118993	AxLab
2026-03-19T15:35:19.907+00:00,485,221.586123,1,4095,1000.0,0.124394,AxLab,485	221.586123	1	4095	1000.0	0.124394	AxLab
