ts_utc,cpu_tempC,disk_free_bytes,throttled
2026-03-19T15:34:07.925+00:00,36.32,220649304064,throttled=0x0
2026-03-19T15:34:17.925+00:00,36.86,220649283584,throttled=0x0
2026-03-19T15:34:27.925+00:00,37.93,220649275392,throttled=0x0
2026-03-19T15:34:37.925+00:00,37.93,220649275392,throttled=0x0
2026-03-19T15:34:47.924+00:00,37.93,220649271296,throttled=0x0
2026-03-19T15:34:57.924+00:00,39.01,220649242624,throttled=0x0
2026-03-19T15:35:07.927+00:00,40.08,220649238528,throttled=0x0
2026-03-19T15:35:17.925+00:00,39.55,220649230336,throttled=0x0
2026-03-19T15:35:27.930+00:00,40.08,220649222144,throttled=0x0
2026-03-19T15:35:37.925+00:00,40.08,220649218048,throttled=0x0
2026-03-19T15:35:47.925+00:00,41.16,220649213952,throttled=0x0
2026-03-19T15:35:57.925+00:00,41.16,220649209856,throttled=0x0
2026-03-19T15:36:07.924+00:00,41.70,220649201664,throttled=0x0
2026-03-19T15:36:17.936+00:00,42.24,220649193472,throttled=0x0
2026-03-19T15:36:27.925+00:00,42.24,220649193472,throttled=0x0
2026-03-19T15:36:37.934+00:00,42.77,220618260480,throttled=0x0
2026-03-19T15:36:47.946+00:00,44.39,220576972800,throttled=0x0
2026-03-19T15:36:57.924+00:00,42.77,220738535424,throttled=0x0
2026-03-19T15:37:07.924+00:00,43.31,220738535424,throttled=0x0
2026-03-19T15:37:17.924+00:00,42.24,220738527232,throttled=0x0
2026-03-19T15:37:27.924+00:00,42.24,220649164800,throttled=0x0
2026-03-19T15:37:37.924+00:00,43.31,220649156608,throttled=0x0
2026-03-19T15:37:47.924+00:00,41.70,220649152512,throttled=0x0
2026-03-19T15:37:57.924+00:00,41.16,220649148416,throttled=0x0
2026-03-19T15:38:07.924+00:00,40.08,220649140224,throttled=0x0
2026-03-19T15:38:17.924+00:00,40.08,220649136128,throttled=0x0
2026-03-19T15:38:27.924+00:00,40.08,220649132032,throttled=0x0
2026-03-19T15:38:37.925+00:00,39.01,220649127936,throttled=0x0
2026-03-19T15:38:47.925+00:00,39.01,220649119744,throttled=0x0
2026-03-19T15:38:57.925+00:00,39.01,220649107456,throttled=0x0
2026-03-19T15:39:07.924+00:00,38.47,220649107456,throttled=0x0
2026-03-19T15:39:17.924+00:00,39.01,220649099264,throttled=0x0
2026-03-19T15:39:27.924+00:00,39.01,220649099264,throttled=0x0
