window_start_utc,window_end_utc,n_samples,bmp_tempC_mean,bmp_pressurePa_mean,bmp_altitudeM_est_mean,euler_heading_deg_mean,euler_roll_deg_mean,euler_pitch_deg_mean,quat_w_mean,quat_x_mean,quat_y_mean,quat_z_mean,accel_x_mps2_mean,accel_y_mps2_mean,accel_z_mps2_mean,linacc_x_mps2_mean,linacc_y_mps2_mean,linacc_z_mps2_mean,gravity_x_mps2_mean,gravity_y_mps2_mean,gravity_z_mps2_mean,gyro_x_rads_mean,gyro_y_rads_mean,gyro_z_rads_mean,mag_x_uT_mean,mag_y_uT_mean,mag_z_uT_mean,calib_sys_mode,calib_gyro_mode,calib_accel_mode,calib_mag_mode
2026-03-19T15:34:07.922+00:00,2026-03-19T15:35:08.128+00:00,61,20.2279,102519.76,-99.0198,0.000000,3.562500,-1.062500,0.956897,0.009337,-0.031616,0.000000,0.588000,0.178000,9.457400,-0.022000,-0.001000,-0.316800,0.610000,0.180000,9.595283,0.000036,-0.000304,-0.000036,26.508197,7.457992,-46.345287,2,3,0,0
2026-03-19T15:35:08.150+00:00,2026-03-19T15:36:08.167+00:00,60,20.3863,102514.77,-98.6351,0.000000,3.562500,-1.062500,0.999451,0.009338,-0.031616,0.000000,0.590741,0.176111,9.459074,-0.022807,-0.004386,-0.312632,0.610000,0.180000,9.780000,0.000309,0.000255,-0.000109,26.632292,7.503125,-46.397917,2,3,0,0
2026-03-19T15:36:08.260+00:00,2026-03-19T15:37:09.087+00:00,61,20.5504,102512.19,-98.4582,0.000000,3.562500,-1.062500,0.999451,0.009338,-0.031616,0.000000,0.586429,0.170179,9.464107,-0.021724,-0.005862,-0.310000,0.610000,0.180000,9.755385,0.000018,-0.000089,0.002289,26.676230,7.682377,-46.253074,2,3,0,0
2026-03-19T15:37:09.117+00:00,2026-03-19T15:38:10.076+00:00,61,20.7228,102510.64,-98.2689,0.000000,3.562500,-1.062500,0.999451,0.009338,-0.031616,0.000000,0.587797,0.170508,9.464576,-0.022037,-0.003889,-0.312037,0.610000,0.180000,9.780000,0.000107,-0.000340,0.000089,26.610656,7.674180,-46.381148,2,3,0,0
2026-03-19T15:38:10.091+00:00,2026-03-19T15:39:11.076+00:00,61,20.8774,102507.48,-98.0173,0.000000,3.562500,-1.193648,0.999451,0.009338,-0.031616,0.000000,0.586182,0.174364,9.465455,-0.021833,-0.003667,-0.310000,0.610000,0.180000,9.780000,-0.000036,-0.000286,0.000000,26.699795,7.593238,-46.411885,0,3,0,0
2026-03-19T15:39:11.090+00:00,2026-03-19T15:40:12.074+00:00,61,21.0230,102505.64,-97.8788,0.000000,3.562500,-1.062500,0.999451,0.009338,-0.031616,0.000000,0.584262,0.171803,9.467869,-0.021786,0.015893,-0.310357,0.610000,0.180000,9.757143,-0.000036,0.000197,0.000161,26.743852,7.572746,-46.381148,2,3,0,0
2026-03-19T15:40:12.088+00:00,2026-03-19T15:41:13.070+00:00,61,21.1539,102505.12,-97.8258,0.000000,3.562500,-1.062500,0.964363,0.009338,-0.031616,0.000000,0.586552,0.172414,9.467586,-0.022881,-0.003051,-0.308136,0.610000,0.180000,9.780000,-0.000072,0.000089,0.000179,26.664959,7.623975,-12.737705,2,3,0,0
2026-03-19T15:41:13.084+00:00,2026-03-19T15:42:14.076+00:00,61,21.2806,102505.37,-97.8799,0.000000,3.562500,-1.062500,0.999451,0.009338,-0.031616,0.000000,0.582000,0.170333,9.466833,-0.026333,-0.004333,-0.330167,0.610000,0.180000,9.780000,0.000072,-0.000107,0.000376,26.614754,7.501025,-46.321721,2,3,0,0
2026-03-19T15:42:14.091+00:00,2026-03-19T15:43:15.073+00:00,61,21.4013,102503.96,-97.7539,0.000000,3.562500,-1.062500,0.999451,0.009338,-0.031616,0.000000,0.584828,0.169138,9.467586,-0.024754,-0.006230,-0.307869,0.610000,0.180000,9.780000,0.000107,-0.000322,0.002343,26.632172,7.503074,-46.486680,2,3,0,0
2026-03-19T15:43:15.088+00:00,2026-03-19T15:44:16.074+00:00,61,21.5121,102501.81,-97.5948,0.000000,3.562500,-1.062500,0.965552,0.009338,-0.031616,0.000000,0.582069,0.169138,9.468621,-0.026066,-0.006885,-0.330656,0.610000,0.180000,9.758667,0.000268,0.000250,-0.000036,26.706967,7.429303,-12.731557,2,3,0,0
