predictor,n,pearson_r,r_squared,p_value
pressure_hPa,2259,-0.16965986337860736,0.028784469241647716,4.731096233959583e-16
disk_free_bytes,2259,-0.13311878396788518,0.017720610645088484,2.1283777726881546e-10
mag_mag,1168,0.13235824043749916,0.017518703811710837,5.662480567785408e-06
temp_C,2259,0.1250139040820979,0.015628476213847973,2.4933507014555567e-09
tilt_deg,1168,-0.08641312670646678,0.007467228467187882,0.003120370293799136
cpu_temp_c,2259,0.08137752299243006,0.006622301248383484,0.00010791508010009939
linacc_mag,1168,0.057636440114012484,0.0033219592290161474,0.04891728244904811
gyro_mag,1168,-0.038690797284441844,0.0014969777945057724,0.18637595445815366
