session,run_number,run_label,run_date,local_hour,raw_mean,corr_mean,corr_std,n
1,1,Run 1 (2026-03-01),2026-03-01,0,13.411111111111111,13.631953580322154,1.0713431532379052,18
1,1,Run 1 (2026-03-01),2026-03-01,1,13.472222222222221,13.68937167652479,1.2414792852562118,18
1,1,Run 1 (2026-03-01),2026-03-01,2,13.727777777777778,13.959607609451371,1.0851682440836026,18
1,1,Run 1 (2026-03-01),2026-03-01,3,13.56111111111111,13.79179170924743,1.1565698519252945,18
1,1,Run 1 (2026-03-01),2026-03-01,4,13.522222222222222,13.756910073937522,1.326464474576996,18
1,1,Run 1 (2026-03-01),2026-03-01,5,13.344444444444443,13.574230538217357,1.1683979208546378,18
1,1,Run 1 (2026-03-01),2026-03-01,6,13.1,13.298157298900074,0.793235346495523,12
1,1,Run 1 (2026-03-01),2026-03-01,7,13.741666666666667,13.97791614439417,1.029113099476166,12
1,1,Run 1 (2026-03-01),2026-03-01,8,14.091666666666667,14.347732895570948,1.1639415230453554,12
1,1,Run 1 (2026-03-01),2026-03-01,9,13.208333333333334,13.464347943549464,1.2382088338494226,12
1,1,Run 1 (2026-03-01),2026-03-01,10,13.658333333333333,13.927720437974836,0.598082156324636,12
1,1,Run 1 (2026-03-01),2026-03-01,11,13.791666666666666,14.066066251787971,0.9611063283590804,12
1,1,Run 1 (2026-03-01),2026-03-01,12,13.541666666666666,13.802033526126925,1.0305062495599173,12
1,1,Run 1 (2026-03-01),2026-03-01,13,13.525,13.767432934747283,1.3666705346186836,12
1,1,Run 1 (2026-03-01),2026-03-01,14,13.291666666666666,13.538743213123867,0.9577701342798635,12
1,1,Run 1 (2026-03-01),2026-03-01,15,13.258333333333333,13.499975445220743,1.0785628758367585,12
1,1,Run 1 (2026-03-01),2026-03-01,16,13.725,13.984109295733468,1.0041518833280014,12
1,1,Run 1 (2026-03-01),2026-03-01,17,13.616666666666667,13.896788181029686,0.9991492142159986,12
1,1,Run 1 (2026-03-01),2026-03-01,18,13.625,13.914389934246529,0.7949766020952108,12
1,1,Run 1 (2026-03-01),2026-03-01,19,14.047058823529412,14.267201672251339,1.3050864876570378,17
1,1,Run 1 (2026-03-01),2026-03-01,20,13.172222222222222,13.37662151522723,1.2464019576035001,18
1,1,Run 1 (2026-03-01),2026-03-01,21,12.81111111111111,13.016140689839188,1.0593897059406545,18
1,1,Run 1 (2026-03-01),2026-03-01,22,13.355555555555556,13.575455426927348,1.2745692913445454,18
1,1,Run 1 (2026-03-01),2026-03-01,23,13.338888888888889,13.560648520696276,1.1890851798036928,18
38,2,Run 2 (2026-03-07),2026-03-07,0,13.825000000000001,13.734027662461152,1.0576449865254063,12
38,2,Run 2 (2026-03-07),2026-03-07,1,13.633333333333333,13.543643053855389,1.1808797870217658,12
38,2,Run 2 (2026-03-07),2026-03-07,2,13.65,13.611954576085912,0.498896271845445,6
38,2,Run 2 (2026-03-07),2026-03-07,3,13.333333333333334,13.24341035128453,0.8812024321287983,12
38,2,Run 2 (2026-03-07),2026-03-07,4,13.783333333333333,13.690822761452951,1.2659443677590465,12
38,2,Run 2 (2026-03-07),2026-03-07,5,12.924999999999999,12.841019982820084,1.134830445435282,12
38,2,Run 2 (2026-03-07),2026-03-07,6,14.549999999999999,14.461802937482124,1.1882866293360084,12
38,2,Run 2 (2026-03-07),2026-03-07,7,13.908333333333333,13.830402529266115,0.9165414375654732,12
38,2,Run 2 (2026-03-07),2026-03-07,8,14.033333333333333,13.96634394470272,1.3600559893742463,12
38,2,Run 2 (2026-03-07),2026-03-07,9,13.442857142857141,13.335749205721047,1.2059376733061622,7
38,2,Run 2 (2026-03-07),2026-03-07,10,13.416666666666666,13.281893019541569,1.5934237159781184,6
38,2,Run 2 (2026-03-07),2026-03-07,11,13.65,13.507978852880585,0.9614572844619532,6
38,2,Run 2 (2026-03-07),2026-03-07,12,13.883333333333333,13.72833179016257,1.2703947981104917,6
38,2,Run 2 (2026-03-07),2026-03-07,13,14.5,14.323419696296893,1.8081453359194783,6
38,2,Run 2 (2026-03-07),2026-03-07,14,13.483333333333334,13.317850015922668,1.2723701341928473,6
38,2,Run 2 (2026-03-07),2026-03-07,15,14.216666666666667,14.054641910324058,1.2937346587330425,6
