session,run_number,run_label,run_date,local_hour,corrected_rate_mean,corrected_rate_sem,n
3,3,Run 3 (2026-03-11),2026-03-11,19,14.220385458332146,0.221008,44
3,3,Run 3 (2026-03-11),2026-03-11,20,13.941753076173093,0.196102,48
3,3,Run 3 (2026-03-11),2026-03-11,21,14.063227607538975,0.204969,48
3,3,Run 3 (2026-03-11),2026-03-11,22,13.904752403502606,0.151945,48
3,3,Run 3 (2026-03-11),2026-03-11,23,13.862575829819278,0.144288,48
4,4,Run 4 (2026-03-19),2026-03-19,0,14.268120155362979,0.678325,6
4,4,Run 4 (2026-03-19),2026-03-19,1,14.497451916803968,0.571324,6
4,4,Run 4 (2026-03-19),2026-03-19,2,13.49908195787608,0.493313,6
4,4,Run 4 (2026-03-19),2026-03-19,3,13.953169681289623,0.363803,6
4,4,Run 4 (2026-03-19),2026-03-19,4,13.120961117486694,0.542555,6
4,4,Run 4 (2026-03-19),2026-03-19,5,12.81328305254631,0.571975,6
4,4,Run 4 (2026-03-19),2026-03-19,6,13.7542685444489,0.290435,6
4,4,Run 4 (2026-03-19),2026-03-19,7,13.640743346773407,0.234016,6
4,4,Run 4 (2026-03-19),2026-03-19,8,14.316789159164696,0.155231,5
4,4,Run 4 (2026-03-19),2026-03-19,11,13.391221298099937,0.615282,2
4,4,Run 4 (2026-03-19),2026-03-19,12,14.104135043352452,0.7716,6
4,4,Run 4 (2026-03-19),2026-03-19,13,13.2420677630739,0.230115,6
4,4,Run 4 (2026-03-19),2026-03-19,14,14.532096844772454,0.475569,6
4,4,Run 4 (2026-03-19),2026-03-19,15,14.522232633525398,0.425303,6
4,4,Run 4 (2026-03-19),2026-03-19,16,14.27872144145362,0.33232,6
4,4,Run 4 (2026-03-19),2026-03-19,17,14.351135281085092,0.709592,6
4,4,Run 4 (2026-03-19),2026-03-19,18,14.099633017324592,0.736828,6
4,4,Run 4 (2026-03-19),2026-03-19,19,13.650708025411076,0.411838,6
4,4,Run 4 (2026-03-19),2026-03-19,20,14.036386384195962,0.794837,6
4,4,Run 4 (2026-03-19),2026-03-19,21,14.478881286564365,0.486319,6
4,4,Run 4 (2026-03-19),2026-03-19,22,13.476498380016565,0.319525,6
4,4,Run 4 (2026-03-19),2026-03-19,23,14.820662885165733,0.406282,6
5,5,Run 5 (2026-03-20),2026-03-20,0,13.867206505333572,0.46191,6
5,5,Run 5 (2026-03-20),2026-03-20,1,13.59752928716754,0.296117,6
5,5,Run 5 (2026-03-20),2026-03-20,2,13.843296503757424,0.359238,6
5,5,Run 5 (2026-03-20),2026-03-20,3,13.279586502000813,0.601743,6
5,5,Run 5 (2026-03-20),2026-03-20,4,14.304465873875344,0.536564,6
5,5,Run 5 (2026-03-20),2026-03-20,5,14.196908266785977,0.466155,6
5,5,Run 5 (2026-03-20),2026-03-20,6,13.531944861841083,0.552647,6
5,5,Run 5 (2026-03-20),2026-03-20,7,13.746712461909373,0.376007,6
5,5,Run 5 (2026-03-20),2026-03-20,8,14.010918294214632,0.667073,6
5,5,Run 5 (2026-03-20),2026-03-20,9,13.687204215273889,0.20186,6
5,5,Run 5 (2026-03-20),2026-03-20,10,14.040813443415066,0.441899,6
5,5,Run 5 (2026-03-20),2026-03-20,11,13.81487771921031,0.260495,6
5,5,Run 5 (2026-03-20),2026-03-20,12,14.149619847719764,0.415412,6
5,5,Run 5 (2026-03-20),2026-03-20,13,13.668186917804656,0.408857,6
5,5,Run 5 (2026-03-20),2026-03-20,14,13.6065407357558,0.458006,6
5,5,Run 5 (2026-03-20),2026-03-20,15,14.235199694741164,0.297252,6
5,5,Run 5 (2026-03-20),2026-03-20,16,13.756825337450243,0.251619,12
5,5,Run 5 (2026-03-20),2026-03-20,17,13.884110916395967,0.278465,12
5,5,Run 5 (2026-03-20),2026-03-20,18,13.672753141773448,0.195531,12
5,5,Run 5 (2026-03-20),2026-03-20,19,13.88064194296348,0.299825,12
5,5,Run 5 (2026-03-20),2026-03-20,20,13.644485632823901,0.336921,12
5,5,Run 5 (2026-03-20),2026-03-20,21,14.435431312591419,0.277716,12
5,5,Run 5 (2026-03-20),2026-03-20,22,13.742273584276928,0.356036,12
5,5,Run 5 (2026-03-20),2026-03-20,23,14.161647347598956,0.438401,12
6,6,Run 6 (2026-03-22),2026-03-22,0,14.068935498130331,0.252892,11
6,6,Run 6 (2026-03-22),2026-03-22,1,13.596216348349602,0.298572,12
6,6,Run 6 (2026-03-22),2026-03-22,2,13.478689460420341,0.397976,12
6,6,Run 6 (2026-03-22),2026-03-22,3,14.212628122835204,0.31313,12
6,6,Run 6 (2026-03-22),2026-03-22,4,14.188620571701437,0.399634,12
6,6,Run 6 (2026-03-22),2026-03-22,5,13.249206602164142,0.293002,12
6,6,Run 6 (2026-03-22),2026-03-22,6,13.827127575993972,0.298994,12
6,6,Run 6 (2026-03-22),2026-03-22,7,13.519382774317405,0.218302,12
6,6,Run 6 (2026-03-22),2026-03-22,8,13.834908812417892,0.365807,12
6,6,Run 6 (2026-03-22),2026-03-22,9,13.267757627649686,0.226735,12
6,6,Run 6 (2026-03-22),2026-03-22,10,13.129189372998772,0.345141,12
6,6,Run 6 (2026-03-22),2026-03-22,11,13.636426160756896,0.305065,12
6,6,Run 6 (2026-03-22),2026-03-22,12,13.54282966626113,0.197474,12
6,6,Run 6 (2026-03-22),2026-03-22,13,14.473239879378774,0.349967,12
6,6,Run 6 (2026-03-22),2026-03-22,14,14.192199989031012,0.20809,12
6,6,Run 6 (2026-03-22),2026-03-22,15,14.303847796154281,0.261135,12
6,6,Run 6 (2026-03-22),2026-03-22,16,13.544248906848305,0.318984,12
6,6,Run 6 (2026-03-22),2026-03-22,17,13.446676787647133,0.329562,12
6,6,Run 6 (2026-03-22),2026-03-22,18,13.85421474782749,0.329112,12
6,6,Run 6 (2026-03-22),2026-03-22,19,13.998821831376528,0.244309,9
6,6,Run 6 (2026-03-22),2026-03-22,20,13.904997666443942,0.237815,6
6,6,Run 6 (2026-03-22),2026-03-22,21,15.173629325411339,0.543077,6
6,6,Run 6 (2026-03-22),2026-03-22,22,14.226551963667646,0.497662,6
6,6,Run 6 (2026-03-22),2026-03-22,23,13.923841372212522,0.501046,6
