session,run_number,run_label,run_date,n_bins,start_utc,end_utc,mean_rate_cpm,pressure_min_hPa,pressure_max_hPa,temp_min_C,temp_max_C,beta_pct_per_hPa,beta_ci95_low_pct_per_hPa,beta_ci95_high_pct_per_hPa,beta_pvalue,temp_pvalue,r_squared
1,1,Run 1 (2026-03-01),2026-03-01,353,2026-03-01 00:10:00+00:00,2026-03-03 10:50:00+00:00,13.48385269121813,1014.9046000000001,1037.98319,23.13389,25.720170000000003,0.11338175931455206,0.02046481798153705,0.20629870064756708,0.01677314236174406,0.1138455929113135,0.017854900001040952
38,2,Run 2 (2026-03-07),2026-03-07,236,2026-03-07 21:50:00+00:00,2026-03-09 13:00:00+00:00,13.767372881355932,1006.61772,1017.1371700000001,24.04845,26.92559,-0.3017312675106486,-0.7013040224475356,0.09784148742623851,0.13886340222229515,0.27444708651813154,0.014635251615808142
39,3,Run 3 (2026-03-11),2026-03-11,1091,2026-03-11 23:40:00+00:00,2026-03-19 13:20:00+00:00,13.941613198900091,987.41045,1030.5590444444445,24.27318,28.96405,0.1632325750520439,0.10794970207231369,0.2185154480317741,7.1593036911342706e-09,0.22076198104142664,0.02985129874121084
40,4,Run 4 (2026-03-19),2026-03-19,127,2026-03-19 15:40:00+00:00,2026-03-20 12:40:00+00:00,13.87007874015748,1018.60581,1024.9822100000001,21.66972,25.84164,-1.290601139345715,-2.6652253689743035,0.08402309028287328,0.06574440581810781,0.010296278490241203,0.025886647723966205
41,5,Run 5 (2026-03-20),2026-03-20,192,2026-03-20 20:00:00+00:00,2026-03-22 03:50:00+00:00,13.989583333333334,1005.6497400000001,1014.22955,25.36959,26.65934,-0.17487927137766393,-0.4661150754203591,0.11635653266503128,0.23923315262669342,0.6871446584041454,0.006296918384847916
42,6,Run 6 (2026-03-22),2026-03-22,260,2026-03-22 04:10:00+00:00,2026-03-23 23:20:00+00:00,13.952692307692306,1002.16799,1019.1621,24.93236,27.50159,-0.15568841668511732,-0.48162597225769255,0.17024913888745782,0.3491687228263495,0.004371332711795115,0.04146407860203427
