session,top_period_h,top_power,power_near_24h,power_near_12h,run_number,run_label,run_date
1,8.404761904761903,62.26466370841262,60.142226349451064,0.27973771172418355,1,Run 1 (2026-03-01),2026-03-01
38,6.555555555555555,83.1580901241785,13.85365741831515,3.244131083360192,2,Run 2 (2026-03-07),2026-03-07
39,7.905797101449274,56.931304591896186,10.182263169783887,11.494017648989749,3,Run 3 (2026-03-11),2026-03-11
42,21.666666666666664,88.36091890453187,88.36091890453187,16.76195047285319,6,Run 6 (2026-03-22),2026-03-22
