ts_utc,bmp_tempC_mean,bmp_pressurePa_mean,bmp_pressure_hPa,smq_tempC_interp,smq_mslp_hPa_interp,temp_diff_C,pressure_diff_hPa,session,run_label,run_date
2026-03-01 00:10:00+00:00,25.31114,101544.443,1015.44443,3.3333333333333335,1016.4,21.97780666666667,-0.9555699999999661,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 00:20:00+00:00,25.03871,101543.367,1015.43367,3.3333333333333335,1016.4,21.705376666666666,-0.9663299999999708,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 00:30:00+00:00,24.8412,101546.983,1015.4698299999999,3.3333333333333335,1016.4,21.50786666666667,-0.9301700000000892,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 00:40:00+00:00,24.74112,101544.699,1015.4469899999999,3.3333333333333335,1016.4,21.407786666666667,-0.953010000000063,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 00:50:00+00:00,24.53461,101548.728,1015.48728,3.3333333333333335,1016.4,21.20127666666667,-0.912719999999922,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 01:00:00+00:00,24.47941111111111,101556.42111111112,1015.5642111111113,3.0740740740740744,1016.435,21.405337037037036,-0.8707888888886828,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 01:10:00+00:00,24.51349,101556.429,1015.56429,2.7037037037037037,1016.485,21.8097862962963,-0.9207099999999855,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 01:20:00+00:00,24.47602,101566.448,1015.66448,2.3333333333333335,1016.535,22.142686666666666,-0.8705199999999422,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 01:30:00+00:00,24.37028,101572.633,1015.72633,1.962962962962963,1016.585,22.40731703703704,-0.8586700000000747,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 01:40:00+00:00,24.34919,101574.787,1015.7478699999999,1.5925925925925928,1016.635,22.75659740740741,-0.8871300000000701,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 01:50:00+00:00,24.39007,101578.251,1015.78251,1.2222222222222223,1016.6850000000001,23.16784777777778,-0.9024900000000571,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 02:00:00+00:00,24.61267,101576.96,1015.7696000000001,0.9814814814814815,1016.6883333333334,23.63118851851852,-0.9187333333333072,1,Run 1 (2026-03-01),2026-03-01
