target_days,actual_elapsed_days,n_bins,end_ts_utc,joint_p_value,amp_pct
7,7.833333333333333,488,2026-03-08 20:10:00+00:00,0.2758530198914238,0.8389557471522948
14,14.9375,1160,2026-03-15 22:40:00+00:00,0.41295195943049834,0.45245333627645284
21,21.833333333333332,2096,2026-03-22 20:10:00+00:00,0.24911695753914057,0.4366062552237639
28,28.833333333333332,3104,2026-03-29 20:10:00+00:00,0.047469936950100336,0.5463260456163408
