ts_utc,outdoor_tempC,outdoor_mslp_hPa,session,run_label,run_date
2026-03-01 08:20:00+00:00,-0.9722222222222223,1016.3449999999999,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 08:30:00+00:00,-0.5092592592592595,1016.3616666666667,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 08:40:00+00:00,-0.04629629629629628,1016.3783333333333,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 08:50:00+00:00,0.4166666666666665,1016.395,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 09:00:00+00:00,0.8148148148148149,1016.47,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 09:10:00+00:00,1.1851851851851851,1016.5699999999999,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 09:20:00+00:00,1.5555555555555556,1016.67,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 09:30:00+00:00,1.925925925925926,1016.77,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 09:40:00+00:00,2.2962962962962963,1016.87,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 09:50:00+00:00,2.666666666666667,1016.97,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 10:00:00+00:00,2.7777777777777777,1017.14,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 10:10:00+00:00,2.7777777777777777,1017.34,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 10:20:00+00:00,2.7777777777777777,1017.54,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 10:30:00+00:00,2.7777777777777777,1017.74,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 10:40:00+00:00,2.7777777777777777,1017.94,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 10:50:00+00:00,2.7777777777777777,1018.1400000000001,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 11:00:00+00:00,2.7777777777777777,1018.3050000000001,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 11:10:00+00:00,2.7777777777777777,1018.455,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 11:20:00+00:00,2.7777777777777777,1018.605,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 11:30:00+00:00,2.7777777777777777,1018.755,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 11:40:00+00:00,2.7777777777777777,1018.905,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 11:50:00+00:00,2.7777777777777777,1019.0550000000001,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 12:00:00+00:00,2.648148148148148,1019.2983333333334,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 12:10:00+00:00,2.462962962962963,1019.5816666666667,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 12:20:00+00:00,2.2777777777777777,1019.865,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 12:30:00+00:00,2.0925925925925926,1020.1483333333333,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 12:40:00+00:00,1.9074074074074074,1020.4316666666666,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 12:50:00+00:00,1.7222222222222223,1020.7149999999999,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 13:00:00+00:00,1.5370370370370372,1020.8583333333332,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 13:10:00+00:00,1.3518518518518519,1020.9416666666666,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 13:20:00+00:00,1.1666666666666667,1021.025,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 13:30:00+00:00,0.9814814814814815,1021.1083333333332,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 13:40:00+00:00,0.7962962962962964,1021.1916666666666,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 13:50:00+00:00,0.6111111111111112,1021.275,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 14:00:00+00:00,0.6851851851851852,1021.3816666666667,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 14:10:00+00:00,0.8703703703703705,1021.4983333333333,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 14:20:00+00:00,1.0555555555555556,1021.615,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 14:30:00+00:00,1.240740740740741,1021.7316666666667,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 14:40:00+00:00,1.425925925925926,1021.8483333333334,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 14:50:00+00:00,1.6111111111111112,1021.965,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 15:00:00+00:00,1.990740740740741,1022.0816666666667,1,Run 1 (2026-03-01),2026-03-01
