n_bins,end_ts_utc,elapsed_days,joint_p_value,amp_pct
272,2026-03-02 21:20:00+00:00,1.8819444444444444,0.5458562031304788,0.6621047414978218
344,2026-03-03 09:20:00+00:00,2.3819444444444446,0.44521109196675246,0.6818281854130317
488,2026-03-08 20:10:00+00:00,7.833333333333333,0.2758530198914238,0.8389557471522948
584,2026-03-09 12:10:00+00:00,8.5,0.330262225851088,0.7123811624327778
728,2026-03-12 22:40:00+00:00,11.9375,0.43705201469723454,0.5883449163335169
872,2026-03-13 22:40:00+00:00,12.9375,0.30607480168654355,0.613987321868789
1016,2026-03-14 22:40:00+00:00,13.9375,0.40612882014866447,0.49076200485363924
1160,2026-03-15 22:40:00+00:00,14.9375,0.41295195943049834,0.45245333627645284
1304,2026-03-16 22:40:00+00:00,15.9375,0.6653952111360154,0.2882049376642786
1448,2026-03-17 22:40:00+00:00,16.9375,0.7044931257043692,0.2516101319930992
1592,2026-03-18 22:40:00+00:00,17.9375,0.7029180464781717,0.2542043697189613
1712,2026-03-19 20:50:00+00:00,18.86111111111111,0.574902682743539,0.31127216724434353
1808,2026-03-20 20:00:00+00:00,19.82638888888889,0.350755202646213,0.41986307170537845
1952,2026-03-21 20:00:00+00:00,20.82638888888889,0.3597874293992462,0.3850374524655988
2096,2026-03-22 20:10:00+00:00,21.833333333333332,0.24911695753914057,0.4366062552237639
2240,2026-03-23 20:10:00+00:00,22.833333333333332,0.124897676394643,0.5190710316980581
2384,2026-03-24 20:10:00+00:00,23.833333333333332,0.10608952582505522,0.5134522848979102
2528,2026-03-25 20:10:00+00:00,24.833333333333332,0.060180844283795124,0.5598496307415429
2672,2026-03-26 20:10:00+00:00,25.833333333333332,0.16714160449700813,0.43566974834183725
2816,2026-03-27 20:10:00+00:00,26.833333333333332,0.15264050443691296,0.44500842555469394
2960,2026-03-28 20:10:00+00:00,27.833333333333332,0.1296915817040898,0.45125994079861587
3104,2026-03-29 20:10:00+00:00,28.833333333333332,0.047469936950100336,0.5463260456163408
3248,2026-03-30 20:10:00+00:00,29.833333333333332,0.03315901241141306,0.5689008337792396
3392,2026-03-31 20:10:00+00:00,30.833333333333332,0.014654631292821043,0.6117768078899651
3415,2026-04-01 00:00:00+00:00,30.993055555555557,0.011222750236190251,0.628760203436093
