n_bins,end_ts_utc,elapsed_days,joint_p_value,amp_pct
200,2026-03-02 09:20:00+00:00,1.3819444444444444,0.1308272890239128,1.2683246018879284
224,2026-03-02 13:20:00+00:00,1.5486111111111112,0.1490226013161549,1.2395486339720552
248,2026-03-02 17:20:00+00:00,1.7152777777777777,0.1344700504186906,1.2306646622969786
272,2026-03-02 21:20:00+00:00,1.8819444444444444,0.5458562031304788,0.6621047414978218
296,2026-03-03 01:20:00+00:00,2.048611111111111,0.5599006290561419,0.6504187776142079
320,2026-03-03 05:20:00+00:00,2.2152777777777777,0.4044214384154763,0.7426445190355403
344,2026-03-03 09:20:00+00:00,2.3819444444444446,0.44521109196675246,0.6818281854130317
368,2026-03-08 00:10:00+00:00,7.0,0.3457236082944413,0.7969732773373756
392,2026-03-08 04:10:00+00:00,7.166666666666667,0.30887771704346606,0.834263505278954
416,2026-03-08 08:10:00+00:00,7.333333333333333,0.38246640098296214,0.7461567270455677
440,2026-03-08 12:10:00+00:00,7.5,0.4739382780011804,0.6474866619454361
464,2026-03-08 16:10:00+00:00,7.666666666666667,0.7687936135331213,0.3504999045581414
488,2026-03-08 20:10:00+00:00,7.833333333333333,0.2758530198914238,0.8389557471522948
512,2026-03-09 00:10:00+00:00,8.0,0.26388104444961885,0.8251390079175414
536,2026-03-09 04:10:00+00:00,8.166666666666666,0.3051426750384553,0.7742216238242635
560,2026-03-09 08:10:00+00:00,8.333333333333334,0.389644359341205,0.6508415260676733
584,2026-03-09 12:10:00+00:00,8.5,0.330262225851088,0.7123811624327778
608,2026-03-12 02:40:00+00:00,11.104166666666666,0.26042439334654843,0.7902009000767479
632,2026-03-12 06:40:00+00:00,11.270833333333334,0.28358706662005173,0.758862544147149
656,2026-03-12 10:40:00+00:00,11.4375,0.3052351047146777,0.7311588493602874
680,2026-03-12 14:40:00+00:00,11.604166666666666,0.2821692306636495,0.7422338038763938
704,2026-03-12 18:40:00+00:00,11.770833333333334,0.37259523051031096,0.6485782436276932
728,2026-03-12 22:40:00+00:00,11.9375,0.43705201469723454,0.5883449163335169
752,2026-03-13 02:40:00+00:00,12.104166666666666,0.37524675022815257,0.616483359978693
776,2026-03-13 06:40:00+00:00,12.270833333333334,0.35002212954062173,0.5861386342880037
800,2026-03-13 10:40:00+00:00,12.4375,0.4438978341486315,0.5172718041812685
824,2026-03-13 14:40:00+00:00,12.604166666666666,0.3562908282633893,0.5829435492274616
