window_start_utc,window_end_utc,n_samples,bmp_tempC_mean,bmp_pressurePa_mean,bmp_altitudeM_est_mean
2026-03-12T00:26:51.884+00:00,2026-03-12T00:27:52.884+00:00,61,28.6817,100399.60,77.3257
2026-03-12T00:27:52.886+00:00,2026-03-12T00:28:52.887+00:00,60,28.6817,100399.79,77.2936
2026-03-12T00:28:52.889+00:00,2026-03-12T00:29:53.882+00:00,61,28.6834,100399.42,77.3234
2026-03-12T00:29:53.884+00:00,2026-03-12T00:30:54.884+00:00,61,28.6871,100401.61,77.1276
2026-03-12T00:30:54.885+00:00,2026-03-12T00:31:55.885+00:00,61,28.6918,100399.92,77.2842
2026-03-12T00:31:55.886+00:00,2026-03-12T00:32:56.884+00:00,61,28.6932,100400.88,77.1687
2026-03-12T00:32:56.886+00:00,2026-03-12T00:33:57.884+00:00,61,28.6955,100401.58,77.1347
2026-03-12T00:33:57.886+00:00,2026-03-12T00:34:58.881+00:00,61,28.6990,100399.59,77.3104
2026-03-12T00:34:58.883+00:00,2026-03-12T00:35:59.880+00:00,61,28.6980,100397.31,77.5047
2026-03-12T00:35:59.882+00:00,2026-03-12T00:37:00.882+00:00,61,28.6951,100396.07,77.5957
2026-03-12T00:37:00.884+00:00,2026-03-12T00:38:01.881+00:00,61,28.6962,100397.89,77.4205
2026-03-12T00:38:01.883+00:00,2026-03-12T00:39:02.881+00:00,61,28.6873,100395.01,77.6880
2026-03-12T00:39:02.891+00:00,2026-03-12T00:40:03.883+00:00,61,28.6789,100391.00,78.0524
2026-03-12T00:40:03.885+00:00,2026-03-12T00:41:04.883+00:00,61,28.6688,100388.85,78.2124
2026-03-12T00:41:04.886+00:00,2026-03-12T00:42:05.884+00:00,61,28.6559,100391.61,78.0122
2026-03-12T00:42:05.886+00:00,2026-03-12T00:43:06.882+00:00,61,28.6438,100395.58,77.7086
2026-03-12T00:43:06.884+00:00,2026-03-12T00:44:07.880+00:00,61,28.6355,100397.35,77.4806
2026-03-12T00:44:07.882+00:00,2026-03-12T00:45:08.883+00:00,61,28.6345,100402.00,77.1035
2026-03-12T00:45:08.885+00:00,2026-03-12T00:46:09.883+00:00,61,28.6375,100406.98,76.6568
2026-03-12T00:46:09.895+00:00,2026-03-12T00:47:10.882+00:00,61,28.6377,100411.55,76.3263
2026-03-12T00:47:10.884+00:00,2026-03-12T00:48:11.884+00:00,61,28.6360,100412.06,76.2661
2026-03-12T00:48:11.886+00:00,2026-03-12T00:49:12.879+00:00,61,28.6314,100408.84,76.5280
2026-03-12T00:49:12.881+00:00,2026-03-12T00:50:12.882+00:00,60,28.6060,100402.45,77.0247
2026-03-12T00:50:12.884+00:00,2026-03-12T00:51:13.882+00:00,61,28.5968,100395.81,77.6376
2026-03-12T00:51:13.884+00:00,2026-03-12T00:52:14.879+00:00,61,28.6006,100394.33,77.7261
2026-03-12T00:52:14.880+00:00,2026-03-12T00:53:15.883+00:00,61,28.6110,100393.38,77.8632
2026-03-12T00:53:15.885+00:00,2026-03-12T00:54:16.881+00:00,61,28.6218,100394.51,77.7180
2026-03-12T00:54:16.883+00:00,2026-03-12T00:55:17.881+00:00,61,28.6291,100392.50,77.8772
2026-03-12T00:55:17.883+00:00,2026-03-12T00:56:18.883+00:00,61,28.6364,100390.52,78.0611
2026-03-12T00:56:18.885+00:00,2026-03-12T00:57:19.884+00:00,61,28.6417,100392.20,77.9111
2026-03-12T00:57:19.886+00:00,2026-03-12T00:58:20.883+00:00,61,28.6400,100395.59,77.6345
2026-03-12T00:58:20.886+00:00,2026-03-12T00:59:21.883+00:00,61,28.6523,100406.44,76.7167
2026-03-12T00:59:21.885+00:00,2026-03-12T01:00:22.880+00:00,61,28.6568,100415.76,75.9445
2026-03-12T01:00:22.882+00:00,2026-03-12T01:01:23.883+00:00,61,28.6597,100431.48,74.6628
2026-03-12T01:01:23.885+00:00,2026-03-12T01:02:24.880+00:00,61,28.6658,100476.99,70.7791
2026-03-12T01:02:24.882+00:00,2026-03-12T01:03:25.883+00:00,61,28.6689,100532.46,66.1561
2026-03-12T01:03:25.884+00:00,2026-03-12T01:04:26.880+00:00,61,28.6748,100560.33,63.8453
2026-03-12T01:04:26.882+00:00,2026-03-12T01:05:27.882+00:00,61,28.6775,100561.12,63.7991
2026-03-12T01:05:27.884+00:00,2026-03-12T01:06:28.881+00:00,61,28.6735,100562.96,63.6165
2026-03-12T01:06:28.883+00:00,2026-03-12T01:07:29.882+00:00,61,28.6696,100541.55,65.3813
2026-03-12T01:07:29.896+00:00,2026-03-12T01:08:30.881+00:00,61,28.6655,100547.80,64.8041
2026-03-12T01:08:30.882+00:00,2026-03-12T01:09:31.880+00:00,61,28.6648,100564.68,63.5046
2026-03-12T01:09:31.883+00:00,2026-03-12T01:10:31.883+00:00,60,28.6581,100558.27,64.0043
2026-03-12T01:10:31.885+00:00,2026-03-12T01:11:32.884+00:00,61,28.6517,100548.08,64.8704
2026-03-12T01:11:32.886+00:00,2026-03-12T01:12:33.881+00:00,61,28.6382,100541.79,65.3800
2026-03-12T01:12:33.882+00:00,2026-03-12T01:13:33.883+00:00,60,28.6236,100538.50,65.6617
2026-03-12T01:13:33.885+00:00,2026-03-12T01:14:34.879+00:00,61,28.6153,100535.53,65.9017
2026-03-12T01:14:34.880+00:00,2026-03-12T01:15:34.882+00:00,60,28.6124,100515.79,67.5531
2026-03-12T01:15:34.884+00:00,2026-03-12T01:16:35.881+00:00,61,28.6116,100475.72,70.9106
2026-03-12T01:16:35.883+00:00,2026-03-12T01:17:36.881+00:00,61,28.6137,100452.05,72.8072
2026-03-12T01:17:36.883+00:00,2026-03-12T01:18:36.884+00:00,60,28.6157,100457.84,72.4269
2026-03-12T01:18:36.886+00:00,2026-03-12T01:19:37.883+00:00,61,28.6195,100467.26,71.5996
2026-03-12T01:19:37.885+00:00,2026-03-12T01:20:38.882+00:00,61,28.6241,100472.74,71.1547
2026-03-12T01:20:38.884+00:00,2026-03-12T01:21:39.886+00:00,61,28.6332,100476.35,70.8480
2026-03-12T01:21:39.887+00:00,2026-03-12T01:22:40.882+00:00,61,28.6356,100478.20,70.7328
2026-03-12T01:22:40.883+00:00,2026-03-12T01:23:40.885+00:00,60,28.6386,100475.16,70.9309
2026-03-12T01:23:40.887+00:00,2026-03-12T01:24:41.882+00:00,61,28.6387,100469.73,71.3962
2026-03-12T01:24:41.884+00:00,2026-03-12T01:25:42.883+00:00,61,28.6419,100471.69,71.2300
2026-03-12T01:25:42.884+00:00,2026-03-12T01:26:43.883+00:00,61,28.6452,100466.11,71.7105
2026-03-12T01:26:43.885+00:00,2026-03-12T01:27:44.879+00:00,61,28.6474,100454.62,72.6033
2026-03-12T01:27:44.880+00:00,2026-03-12T01:28:44.883+00:00,60,28.6483,100446.74,73.5038
2026-03-12T01:28:44.885+00:00,2026-03-12T01:29:45.884+00:00,61,28.6508,100440.67,73.9611
2026-03-12T01:29:45.885+00:00,2026-03-12T01:30:46.880+00:00,61,28.6519,100432.08,74.5580
2026-03-12T01:30:46.882+00:00,2026-03-12T01:31:47.885+00:00,61,28.6548,100427.55,74.9239
2026-03-12T01:31:47.886+00:00,2026-03-12T01:32:48.883+00:00,61,28.6577,100420.50,75.5342
2026-03-12T01:32:48.885+00:00,2026-03-12T01:33:49.882+00:00,61,28.6619,100418.02,75.9057
2026-03-12T01:33:49.884+00:00,2026-03-12T01:34:50.885+00:00,61,28.6684,100419.66,75.6538
2026-03-12T01:34:50.887+00:00,2026-03-12T01:35:51.880+00:00,61,28.6745,100423.44,75.3232
2026-03-12T01:35:51.882+00:00,2026-03-12T01:36:52.882+00:00,61,28.6761,100423.69,75.3138
2026-03-12T01:36:52.884+00:00,2026-03-12T01:37:53.880+00:00,61,28.6737,100417.93,75.7387
2026-03-12T01:37:53.882+00:00,2026-03-12T01:38:54.881+00:00,61,28.6712,100415.06,76.0115
2026-03-12T01:38:54.883+00:00,2026-03-12T01:39:55.882+00:00,61,28.6658,100410.94,76.3280
2026-03-12T01:39:55.884+00:00,2026-03-12T01:40:55.884+00:00,60,28.6597,100405.36,76.7910
2026-03-12T01:40:55.887+00:00,2026-03-12T01:41:56.880+00:00,61,28.6491,100399.14,77.3571
2026-03-12T01:41:56.882+00:00,2026-03-12T01:42:56.883+00:00,60,28.6346,100389.35,78.1426
2026-03-12T01:42:56.885+00:00,2026-03-12T01:43:57.882+00:00,61,28.6250,100382.54,78.7261
2026-03-12T01:43:57.884+00:00,2026-03-12T01:44:58.881+00:00,61,28.6198,100374.48,79.3747
2026-03-12T01:44:58.883+00:00,2026-03-12T01:45:58.883+00:00,60,28.6181,100372.21,79.5982
2026-03-12T01:45:58.885+00:00,2026-03-12T01:46:59.880+00:00,61,28.6173,100372.91,79.5367
2026-03-12T01:46:59.882+00:00,2026-03-12T01:47:59.884+00:00,60,28.6162,100369.99,79.7639
2026-03-12T01:47:59.886+00:00,2026-03-12T01:49:00.882+00:00,61,28.6168,100369.83,79.8055
2026-03-12T01:49:00.884+00:00,2026-03-12T01:50:01.881+00:00,61,28.6190,100369.99,79.7765
2026-03-12T01:50:01.883+00:00,2026-03-12T01:51:01.883+00:00,60,28.6219,100369.50,79.7886
2026-03-12T01:51:01.886+00:00,2026-03-12T01:52:01.886+00:00,60,28.6202,100367.98,80.0629
2026-03-12T01:52:01.888+00:00,2026-03-12T01:53:01.892+00:00,60,28.5872,100360.74,80.4352
2026-03-12T01:53:01.893+00:00,2026-03-12T01:54:02.883+00:00,61,28.5607,100356.53,81.5709
2026-03-12T01:54:02.886+00:00,2026-03-12T01:55:03.884+00:00,61,28.6479,100363.29,80.2928
2026-03-12T01:55:03.897+00:00,2026-03-12T01:56:04.880+00:00,61,28.6739,100364.27,80.2757
2026-03-12T01:56:04.881+00:00,2026-03-12T01:57:05.884+00:00,61,28.6813,100361.82,80.4729
2026-03-12T01:57:05.886+00:00,2026-03-12T01:58:06.884+00:00,61,28.6851,100360.76,80.4592
2026-03-12T01:58:06.886+00:00,2026-03-12T01:59:07.884+00:00,61,28.6908,100362.98,80.3710
2026-03-12T01:59:07.885+00:00,2026-03-12T02:00:07.892+00:00,60,28.6219,100357.03,81.0147
2026-03-12T02:00:07.894+00:00,2026-03-12T02:01:08.887+00:00,61,28.5388,100347.07,81.2532
2026-03-12T02:01:08.889+00:00,2026-03-12T02:02:09.880+00:00,61,28.7070,100357.77,80.6090
2026-03-12T02:02:09.882+00:00,2026-03-12T02:03:10.881+00:00,61,28.7354,100363.32,80.4163
2026-03-12T02:03:10.883+00:00,2026-03-12T02:04:11.880+00:00,61,28.7542,100362.82,80.3989
2026-03-12T02:04:11.882+00:00,2026-03-12T02:05:12.882+00:00,61,28.7668,100369.48,79.8306
2026-03-12T02:05:12.884+00:00,2026-03-12T02:06:13.883+00:00,61,28.7754,100373.71,79.4841
