ts_utc,cpu_tempC,disk_free_bytes,throttled
2026-03-11T23:36:24.766+00:00,48.69,221338046464,throttled=0x0
2026-03-11T23:36:34.766+00:00,49.77,221338025984,throttled=0x0
2026-03-11T23:38:06.437+00:00,50.31,221338017792,throttled=0x0
2026-03-11T23:38:06.481+00:00,50.31,221338017792,throttled=0x0
2026-03-11T23:38:06.523+00:00,50.31,221338017792,throttled=0x0
2026-03-11T23:38:06.568+00:00,50.31,221338017792,throttled=0x0
2026-03-11T23:38:06.610+00:00,49.77,221338017792,throttled=0x0
2026-03-11T23:38:06.653+00:00,50.31,221338017792,throttled=0x0
2026-03-11T23:38:06.690+00:00,50.31,221338017792,throttled=0x0
2026-03-11T23:38:06.730+00:00,49.77,221338017792,throttled=0x0
2026-03-11T23:38:06.773+00:00,49.23,221338017792,throttled=0x0
2026-03-11T23:38:14.766+00:00,49.77,221338017792,throttled=0x0
2026-03-11T23:38:24.766+00:00,50.31,221338013696,throttled=0x0
2026-03-11T23:38:34.766+00:00,50.31,221337985024,throttled=0x0
2026-03-11T23:38:44.766+00:00,50.84,221337976832,throttled=0x0
2026-03-11T23:38:54.766+00:00,50.84,221337972736,throttled=0x0
2026-03-11T23:39:04.766+00:00,50.84,221337964544,throttled=0x0
2026-03-11T23:39:14.766+00:00,50.84,221337956352,throttled=0x0
2026-03-11T23:39:24.766+00:00,50.84,221337952256,throttled=0x0
2026-03-11T23:39:34.767+00:00,51.38,221337944064,throttled=0x0
2026-03-11T23:39:44.766+00:00,53.00,221337939968,throttled=0x0
2026-03-11T23:39:54.766+00:00,52.46,221337931776,throttled=0x0
2026-03-11T23:40:04.767+00:00,53.00,221337927680,throttled=0x0
2026-03-11T23:40:14.767+00:00,51.92,221337923584,throttled=0x0
2026-03-11T23:40:24.768+00:00,53.00,221337915392,throttled=0x0
2026-03-11T23:40:34.769+00:00,52.46,221330161664,throttled=0x0
2026-03-11T23:40:44.767+00:00,53.00,221305991168,throttled=0x0
2026-03-11T23:40:54.766+00:00,51.92,221258080256,throttled=0x0
2026-03-11T23:41:04.767+00:00,53.00,221427097600,throttled=0x0
2026-03-11T23:41:14.766+00:00,51.92,221427093504,throttled=0x0
2026-03-11T23:41:24.768+00:00,51.92,221427089408,throttled=0x0
2026-03-11T23:41:34.766+00:00,53.00,221337882624,throttled=0x0
2026-03-11T23:41:44.767+00:00,53.00,221337878528,throttled=0x0
2026-03-11T23:41:54.766+00:00,50.84,221337874432,throttled=0x0
2026-03-11T23:42:04.766+00:00,50.84,221337866240,throttled=0x0
2026-03-11T23:42:14.766+00:00,49.23,221337866240,throttled=0x0
2026-03-11T23:42:24.766+00:00,48.69,221337858048,throttled=0x0
2026-03-11T23:42:34.766+00:00,48.69,221337849856,throttled=0x0
2026-03-11T23:42:44.766+00:00,48.69,221337845760,throttled=0x0
2026-03-11T23:42:54.766+00:00,48.69,221337837568,throttled=0x0
2026-03-11T23:43:04.767+00:00,47.62,221337837568,throttled=0x0
2026-03-11T23:43:14.766+00:00,48.15,221337829376,throttled=0x0
2026-03-11T23:43:24.766+00:00,48.15,221337821184,throttled=0x0
2026-03-11T23:43:34.766+00:00,47.62,221337821184,throttled=0x0
2026-03-11T23:43:44.766+00:00,47.62,221337812992,throttled=0x0
2026-03-11T23:43:54.766+00:00,47.08,221337808896,throttled=0x0
2026-03-11T23:44:04.766+00:00,47.08,221337804800,throttled=0x0
2026-03-11T23:44:14.766+00:00,47.08,221337800704,throttled=0x0
2026-03-11T23:44:24.766+00:00,46.54,221337792512,throttled=0x0
2026-03-11T23:44:34.766+00:00,46.54,221337784320,throttled=0x0
2026-03-11T23:44:44.766+00:00,46.54,221337784320,throttled=0x0
2026-03-11T23:44:54.766+00:00,46.54,221337776128,throttled=0x0
2026-03-11T23:45:04.766+00:00,46.54,221337767936,throttled=0x0
2026-03-11T23:45:14.766+00:00,46.54,221337767936,throttled=0x0
2026-03-11T23:45:24.766+00:00,46.54,221337755648,throttled=0x0
2026-03-11T23:45:34.766+00:00,46.00,221337755648,throttled=0x0
2026-03-11T23:45:44.766+00:00,46.00,221337747456,throttled=0x0
2026-03-11T23:45:54.766+00:00,46.54,221337743360,throttled=0x0
2026-03-11T23:46:04.766+00:00,46.00,221337731072,throttled=0x0
2026-03-11T23:46:14.766+00:00,45.46,221337726976,throttled=0x0
2026-03-11T23:46:24.766+00:00,45.46,221337722880,throttled=0x0
2026-03-11T23:46:34.766+00:00,45.46,221337718784,throttled=0x0
2026-03-11T23:46:44.766+00:00,45.46,221337714688,throttled=0x0
2026-03-11T23:46:54.766+00:00,45.46,221337706496,throttled=0x0
2026-03-11T23:47:04.766+00:00,46.00,221337702400,throttled=0x0
2026-03-11T23:47:14.766+00:00,45.46,221337694208,throttled=0x0
2026-03-11T23:47:24.766+00:00,45.46,221337690112,throttled=0x0
2026-03-11T23:47:34.766+00:00,45.46,221337681920,throttled=0x0
2026-03-11T23:47:44.766+00:00,45.46,221337681920,throttled=0x0
2026-03-11T23:47:54.766+00:00,45.46,221337673728,throttled=0x0
2026-03-11T23:48:04.766+00:00,45.46,221337673728,throttled=0x0
2026-03-11T23:48:14.766+00:00,44.93,221337665536,throttled=0x0
2026-03-11T23:48:24.766+00:00,45.46,221337653248,throttled=0x0
